Dim_cm2,Date,Style_encoded,Artist_encoded,Medium_encoded,Cluster
3271.53,1963,4,1565,4784,0
4485.6,1903,3,1560,490,1
1064.0,1939,8,375,1854,1
1108.0,1932,8,2689,3748,2
1534.5,1954,2,332,2251,1
1790.37,1952,2,332,2251,1
3608.66,1963,4,215,468,1
3254.41,1912,1,188,688,1
1396.9,1962,4,197,3745,1
1491.0,1932,8,2689,3748,2
567.0,1935,8,2909,1861,2
9818.43,1915,1,2751,459,2
4322.25,1974,4,1788,3748,0
1808.48,1924,8,2761,2319,2
4274.6,1962,4,197,3678,1
4329.9,1974,4,1788,3748,0
3825.36,1967,4,1618,5198,0
2246.4,1917,1,269,468,1
855.98,1917,1,703,3748,1
3853.2,1967,4,1618,1960,1
3046.12,1986,5,2132,468,2
7349.04,1976,4,197,3748,1
1196.91,1925,8,837,2251,1
3610.53,1913,1,2440,1872,2
613.88,1942,2,3535,2217,2
630.01,1966,4,3402,1926,2
3312.16,1967,4,1618,1747,1
911.25,1913,1,1302,468,1
604.8,1946,2,197,3748,1
4201.2,1917,1,2440,1926,2
2365.2,1923,8,1016,3682,1
3837.99,1967,4,1618,5195,0
2872.44,1929,8,104,3748,1
16964.76,1919,1,1570,1884,1
3832.92,1967,4,1618,1089,1
625.8,1963,4,3149,278,2
881.1,1968,4,1234,2411,1
1905.0,1913,1,2440,2368,2
434.4,1970,4,2154,5,2
3860.8,1967,4,1618,1072,1
4332.25,1978,4,1234,2217,1
1201.91,1913,1,2440,1917,2
433.16,1970,4,2154,6,2
3772.08,1967,4,1618,1072,1
803.6,1957,2,1763,5184,0
1782.65,1916,1,479,5213,0
1195.08,1958,2,1679,2198,1
3845.56,1967,4,1618,1071,1
1935.48,1973,4,2198,2322,2
15748.0,1995,5,2953,4784,0
3811.08,1917,1,479,5213,0
3113.04,1943,2,1641,1858,1
2708.91,1951,2,786,408,1
303.16,1920,8,1164,3748,0
3538.86,1967,4,1618,954,1
1781.12,1916,1,479,5132,0
5602.82,1951,2,786,407,1
7437.57,1967,4,1618,1080,1
15326.0,1975,4,310,2142,1
2499.77,1923,8,3266,1968,2
8883.1,1973,4,310,2311,1
6016.5,1966,4,405,5132,0
238.0,1944,2,1561,2251,1
2909.3,1912,1,2603,468,2
4269.21,1967,4,558,3748,1
4136.55,1932,8,3206,1884,2
472.61,1944,2,1561,2240,1
315.0,1984,5,1133,603,1
315.0,1984,5,1133,4523,0
315.0,1984,5,1133,603,1
315.0,1984,5,1133,603,1
315.0,1984,5,1133,603,1
315.0,1984,5,1133,603,1
4242.81,1932,8,3206,1926,2
2690.1,1947,2,3484,2146,2
1144.0,1946,2,1561,1843,1
17045.16,1984,5,1510,448,1
4543.0,1930,8,966,2368,1
660.0,1919,1,482,5132,0
2964.6,1944,2,1254,3115,1
806.76,1949,2,1561,2251,1
602.64,1916,1,482,5132,0
793.6,1949,2,1561,2115,1
1757.0,1929,8,482,5132,0
2683.88,1961,4,1759,2251,1
677.25,1919,1,2002,3714,0
1707.55,1932,8,105,2251,1
572.4,1950,2,1561,2251,1
1724.31,1932,8,105,2251,1
1225.11,1958,2,196,3180,1
566.37,1918,1,482,5132,0
1732.72,1932,8,105,2251,1
1895.04,1947,2,1009,1861,1
842.4,1951,2,1561,2251,1
851.76,1947,2,1009,1861,1
690.08,1951,2,1561,2251,1
2955.15,1920,8,482,5127,0
7244.21,1963,4,1873,2786,2
1657.75,1952,2,1561,2251,1
2810.6,1964,4,2126,745,2
2727.06,1952,2,1561,2225,1
3207.6,1906,1,188,5132,0
1159.68,1938,8,898,7,1
3260.0,1952,2,1561,2251,1
640.68,1940,2,898,1861,1
671.22,1951,2,1561,2188,1
671.23,1954,2,1561,2251,1
1605.9,1921,8,2642,3175,2
2619.54,1954,2,1561,2300,1
755.2,1955,2,1561,2251,1
1961.38,1911,1,2111,3048,0
752.0,1955,2,1561,3748,0
8019.64,1977,4,2896,686,2
312.93,1969,4,2375,1708,2
1523.88,1955,2,1561,2251,1
312.93,1969,4,2375,1708,2
1767.5,1942,2,3495,5101,0
4338.64,1943,2,2242,2161,2
839.84,1958,2,1561,2259,1
4263.12,1980,5,2233,1084,2
1230.74,1943,2,436,5109,0
22376.55,1962,4,2737,1162,2
828.98,1958,2,1561,2259,1
2296.2,1980,5,3075,5254,0
4288.35,1984,5,3521,2124,2
2764.86,1927,8,1099,5230,0
7818.08,1935,8,1642,3093,1
1977.88,1917,1,2196,2018,2
1274.37,1944,2,436,5109,0
705.99,1960,4,1561,2251,1
1403.6,1980,5,866,437,1
11254.93,1984,5,1876,5079,0
2769.42,1929,8,1099,5182,0
1173.2,1920,8,2353,2519,2
1558.2,1938,8,1611,3748,0
431.76,1945,2,436,5151,0
1626.48,1917,1,1217,3748,0
1298.19,1960,4,1561,2251,1
3570.0,1981,5,2498,2090,2
867.15,1986,5,2866,2868,2
2719.53,1925,8,1099,5109,0
583.0,1936,8,1985,1831,2
542.16,1945,2,436,1861,1
720.48,1960,4,1561,2251,1
3193.02,1927,8,1088,5111,0
1924.05,1927,8,1099,2318,1
592.02,1936,8,1985,5200,0
2760.0,1942,2,1324,722,1
698.45,1943,2,436,730,1
6752.88,1949,2,1768,2251,1
564.9,1961,4,1561,2251,1
2773.99,1927,8,1099,5232,0
633.33,1935,8,1985,1832,2
1536.64,1943,2,436,730,1
837.5,1961,4,1561,2251,1
19727.5,1980,5,3574,727,2
4820.52,1986,5,1133,3115,1
2761.85,1928,8,1099,5249,0
1821.6,1936,8,2578,1926,2
592.74,1944,2,436,2251,1
3627.76,1961,4,1561,970,1
6430.8,1969,4,1548,2066,1
56835.04,1985,5,2876,3550,3
4489.44,1925,8,1554,1910,1
1698.03,1941,2,1429,5151,0
6531.87,1943,2,2942,992,2
1113.25,1944,2,436,2251,1
4282.44,1980,5,827,3748,0
1392.32,1970,4,2951,3876,0
13096.24,1973,4,554,1821,1
1118.26,1943,2,934,1926,1
602.64,1944,2,436,2251,1
855.14,1927,8,2580,5154,0
2997.82,1913,1,1464,418,1
293.53,1890,3,3446,2225,2
1489.32,1899,3,990,1951,1
814.35,1977,4,554,2329,1
2456.5,1929,8,1099,5123,0
578.0,1945,2,436,2251,1
847.55,1927,8,2580,5151,0
4304.08,1969,4,3487,468,2
714.4,1915,1,2168,2124,2
4918.65,1938,8,1308,468,1
3063.23,1932,8,262,3748,1
283.02,1916,1,2231,5260,0
2850.0,1948,2,831,2251,1
3263.0,1962,4,2897,3748,0
697.84,1915,1,2168,5248,0
7676.0,1972,4,3415,873,2
217.17,1912,1,2603,2251,2
4375.61,1938,8,2603,468,2
2761.74,1948,2,25,1856,1
1935.48,1929,8,1099,2408,1
7073.45,1943,2,159,5151,0
1760.22,1962,4,861,2188,1
7031.03,1969,4,215,468,1
758.4,1916,1,2168,2124,2
3379.8,1972,4,3479,5151,0
616.55,1938,8,2603,2289,2
1594.88,1914,1,3386,5132,0
308.0,1928,8,2168,3748,0
584.47,1960,4,973,5109,0
4288.35,1978,4,959,3262,1
19065.24,1992,5,1933,5091,0
2509.84,1930,8,1344,1861,1
708.66,1943,2,946,3718,0
4616.22,1943,2,2478,5100,0
7256.2,1959,2,80,389,1
1238.48,1886,3,3596,2251,2
742.28,1960,4,973,5109,0
938.74,1914,1,2983,2251,2
1598.58,1968,4,1066,3711,0
974.55,1919,1,1824,3748,0
4129.84,1961,4,451,2228,1
308.0,1928,8,2168,3748,0
2544.78,1972,4,1066,2190,1
1777.6,1928,8,790,5132,0
594.92,1941,2,2672,2251,2
4991.87,1932,8,1798,751,2
308.0,1928,8,2168,3748,0
1630.0,1955,2,72,3748,1
5254.6,1977,4,1066,3115,1
2982.84,1932,8,1798,745,2
308.0,1928,8,2168,3748,0
740.9,1910,1,60,5132,0
2571.06,1945,2,3483,3582,2
988.94,1994,5,819,537,1
4872.54,1926,8,790,5132,0
592.76,1917,1,482,5132,0
618.8,1919,1,1225,735,1
308.0,1928,8,2168,3748,0
234.6,1910,1,60,2251,1
3252.96,1926,8,2347,434,2
3099.42,1990,5,405,1009,1
1094.72,1928,8,2356,1926,2
548.08,1919,1,1225,5151,0
871.5,1912,1,2512,3748,0
834.75,1940,2,898,2160,1
1338.6,1992,5,2802,2133,2
2250.99,1992,5,2802,2133,2
